Active,Positions,Course Code,Course Name,Course SIS,Section SIS,Term SIS,Expected Completion
True,Trainer,D1,D1 - Animal Learning Theory,D1,D1-1,,12
True,Team Facilitator;Team Facilitator Lead,D1,D1 - Animal Learning Theory,D1,D1-2,,12
True,Trainer,TO-D1,TO - D1 - Animal Learning Theory Testout,D1testout,D1testout-1,,4
True,Trainer,D2,D2 - Dog Development and Physiology,D2,D2-1,,12
True,Trainer,TO-D2,TO - D2 - Dog Development and Physiology,D2testout,D2testout-1,,4
True,Trainer,D3,D3 - Puppy Socialization and Rearing,D3,D3-1,,12
True,Trainer,TO-D3,TO - D3 - Puppy Socialization and Rearing,D3testout,D3testout-1,,4
True,Trainer,D4,D4 - Dog Body Language and Communication,D4,D4-1,,12
True,Client,D4,D4 - Dog Body Language and Communication,D4,D4-2,,12
True,Trainer,TO-D4,TO - D4 - Dog Body Language and Communication,D4testout,D4testout-1,,4
True,Trainer,D5,D5 - Problem Solving of Common Behavioral Issues,D5,D5-1,,12
True,Trainer,TO-D5,TO - D5 - Problem Solving of Common Behavioral Issues,D5testout,D5testout-1,,4
True,Trainer,D6,"D6 - Dog Health, Maintenance, and Basic Preventative Care",D6,D6-1,,12
True,Team Facilitator;Team Facilitator Lead;Client,D6,"D6 - Dog Health, Maintenance, and Basic Preventative Care",D6,D6-2,,12
True,Trainer,TO-D6,"TO - D6 - Dog Health, Maintenance, and Basic Preventative Care",D6testout,D6testout-1,,4
True,Trainer,D7,D7 - Use of Training Equipment,D7,D7-1,,12
True,Trainer,TO-D7,TO - D7 - Methods and Use of Training Equipment,D7testout,D7testout-1,,4
False,Trainer,D8,D8 - Dog Training Approaches Including Planning and Carrying Out Training Sessions,D8,D8-1,,0
False,Team Facilitator;Team Facilitator Lead,D8,D8 - Dog Training Approaches Including Planning and Carrying Out Training Sessions,D8,D8-2,,0
True,Trainer,D8-2,D8 - Training Methods: Creating & Implementing a Training Plan,D8-2,D8-2-T,,12
True,Team Facilitator;Team Facilitator Lead,D8-2,D8 - Training Methods: Creating & Implementing a Training Plan,D8-2,D8-2-TF,,16
